epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5681.57,1.0182,1.03366,1.18461,0.41307,0.32663,0.29849,0.15486,1.25349,1.66198,1.40468,0.000685052,0.000685052,0.000685052
89,5745.46,1.00025,1.06743,1.19269,0.54714,0.26695,0.27611,0.17252,1.24185,1.69653,1.40419,0.000658003,0.000658003,0.000658003
90,5808.99,1.01397,1.08285,1.196,0.57596,0.29634,0.22457,0.14401,1.23905,1.65888,1.39592,0.000633018,0.000633018,0.000633018
91,5886.08,1.01016,0.99404,1.18796,0.64149,0.28173,0.28295,0.16948,1.23549,1.66425,1.3957,0.000610123,0.000610123,0.000610123
92,5950.31,1.01041,0.96314,1.17464,0.39883,0.3108,0.29727,0.17679,1.25169,1.67033,1.40746,0.000589339,0.000589339,0.000589339
93,6014.39,1.00536,0.9568,1.16991,0.59893,0.26477,0.29831,0.18924,1.23232,1.6335,1.4083,0.000570688,0.000570688,0.000570688
94,6078.36,0.99492,0.959,1.17353,0.58531,0.30641,0.26055,0.15822,1.23991,1.6801,1.41145,0.000554187,0.000554187,0.000554187
95,6142.26,0.98889,0.94291,1.17367,0.59692,0.31061,0.25141,0.15742,1.21685,1.66157,1.38003,0.000539854,0.000539854,0.000539854
96,6206.46,0.96845,0.91015,1.1536,0.61007,0.26062,0.2988,0.19665,1.2101,1.65434,1.37835,0.000527701,0.000527701,0.000527701
97,6271.07,0.98794,0.91115,1.16798,0.66126,0.26452,0.29782,0.19253,1.2391,1.63476,1.40007,0.000517742,0.000517742,0.000517742
98,6335.36,0.97107,0.90985,1.15336,0.60687,0.27978,0.30281,0.19596,1.2282,1.66189,1.39042,0.000509986,0.000509986,0.000509986
99,6399.45,0.96614,0.88648,1.1516,0.66697,0.25988,0.30459,0.19811,1.23297,1.68703,1.40763,0.00050444,0.00050444,0.00050444
100,6463.95,0.98752,0.9079,1.17781,0.68622,0.28053,0.3055,0.1976,1.24313,1.62351,1.4088,0.00050111,0.00050111,0.00050111
